Direcciones,Latitud,Longitud,Nro Radicado
Carrera 59 Calle 83 Sur LA ESTRELLA,6.159322,-75.642083,9343
Calle 82A Sur Carrera 56D LA ESTRELLA,6.1545261,-75.6390169,9350
Carrera 57A Calle 75AA Sur LA ESTRELLA,6.1628923,-75.6402152,9373
Carrera 48 Calle 100 Sur LA ESTRELLA,6.1168976,-75.6303266,9379
Calle 87 Sur Carrera 55 LA ESTRELLA,6.1501338,-75.6371597,9384
Calle 87 Sur Carrera 55 LA ESTRELLA,6.1501338,-75.6371597,9386
Carrera 50 Calle 78 Sur LA ESTRELLA,6.156027,-75.6287578,9389
Calle 82 Sur Carrera 60 LA ESTRELLA,6.1563292,-75.6433622,9390
Carrera 50 Calle 79C Sur LA ESTRELLA,6.1529569,-75.6318012,9394
Carrera 50 Calle 79C Sur LA ESTRELLA,6.1529569,-75.6318012,9395
Carrera 48 Calle 100 Sur LA ESTRELLA,6.1168976,-75.6303266,9397
Carrera 48 Calle 100 Sur LA ESTRELLA,6.1168976,-75.6303266,9399
Calle 87 Sur Carrera 65 LA ESTRELLA,6.1531536,-75.6483954,9406
Calle 80 Sur Carrera 60 LA ESTRELLA,6.1580754,-75.6435169,9409
Calle 77 Sur Carrera 57 LA ESTRELLA,6.1600369,-75.6395242,9437
Calle 77 Sur Carrera 56D Sur LA ESTRELLA,6.1600851,-75.6389193,9442
Calle 77 Sur Carrera 50D LA ESTRELLA,6.1572718,-75.627051,9455
Carrera 50 Calle 98 Sur LA ESTRELLA,6.1283022,-75.6327344,9204
Carrera 50 Calle 98 Sur LA ESTRELLA,6.1283022,-75.6327344,9205
Carrera 50 Calle 95 Sur LA ESTRELLA,6.1366177,-75.6342835,9206
Carrera 55 Calle 77 Sur LA ESTRELLA,6.1604047,-75.6372673,9207
Carrera 50 Calle 83C Sur LA ESTRELLA,6.1504236,-75.6360396,9208
Calle 87 Sur Carrera 58 LA ESTRELLA,6.1526853,-75.6520852,9209
Calle 100 Sur Carrera 48 LA ESTRELLA,6.1196971,-75.6315951,9210
Calle 77 Sur Carrera 59B LA ESTRELLA,6.1595338,-75.6421407,9211
Carrera 62 Calle 82 Sur LA ESTRELLA,6.1568455,-75.6449082,9226
Calle 77 Sur Carrera 52 LA ESTRELLA,6.1584484,-75.6290211,9227
Carrera 57 Calle 77 Sur LA ESTRELLA,6.1600369,-75.6395242,9228
Carrera 65 Calle 80 Sur LA ESTRELLA,6.1591549,-75.6466526,9229
Calle 82 Sur Carrera 57 LA ESTRELLA,6.1553376,-75.6405452,9230
Calle 82 Sur Carrera 60 LA ESTRELLA,6.1563292,-75.6433622,9231
Calle 100 Sur Carrera 50 LA ESTRELLA,6.1194097,-75.6344227,9233
Carrera 55 Calle 77 Sur LA ESTRELLA,6.1604047,-75.6372673,9234
Carrera 55A Calle 79BB Sur LA ESTRELLA,6.1543067,-75.6332955,9235
Calle 79 Sur Carrera 58 LA ESTRELLA,6.1581645,-75.6411014,9236
Calle 78 Sur Carrera 50 LA ESTRELLA,6.156027,-75.6287578,9262
Carrera 59 Calle 77 Sur LA ESTRELLA,6.1596727,-75.6413438,9263
Calle 87 Sur Carrera 66 LA ESTRELLA,6.1526846,-75.6520856,9264
Carrera 50 Calle 79 Sur LA ESTRELLA,6.1539353,-75.6289665,9265
Calle 77 Sur Carrera 50D LA ESTRELLA,6.1572718,-75.627051,9459
Carrera 63 Calle 80 Sur LA ESTRELLA,6.1586293,-75.6450655,9460
Carrera 50 Calle 80 Sur LA ESTRELLA,6.1523941,-75.6336115,9461
Calle 87 Sur Carrera 55 LA ESTRELLA,6.1501338,-75.6371597,9462
Carrera 48B Calle 99 Sur LA ESTRELLA,6.1218087,-75.6308752,9463
Calle 80 Sur Carrera 55 LA ESTRELLA,6.1543856,-75.6363237,9464
Carrera 50 Calle 79 Sur LA ESTRELLA,6.1539353,-75.6289665,9465
Calle 76B Sur Carrera 56 LA ESTRELLA,6.1610843,-75.6401458,9466
Calle 82A Sur Carrera 56B LA ESTRELLA,6.154681,-75.6391325,9467
Carrera 50 Calle 78 Sur LA ESTRELLA,6.156027,-75.6287578,9468
Calle 77 Sur Carrera 56E LA ESTRELLA,6.1600523,-75.6392025,9469
Carrera 57 Calle 78A Sur LA ESTRELLA,6.1585202,-75.6397059,9472
Calle 77 Sur Carrera 52 LA ESTRELLA,6.1584484,-75.6290211,9473
Carrera 52D Calle 75AB Sur LA ESTRELLA,6.1604689,-75.6284003,9474
Calle 97 Sur Carrera 50 LA ESTRELLA,6.1331391,-75.6337246,9479
Calle 77 Sur Carrera 52A LA ESTRELLA,6.158955,-75.6292297,9480
Calle 82 Sur Carrera 57B LA ESTRELLA,6.1556074,-75.6414231,9481
Carrera 50 Calle 95A Sur LA ESTRELLA,6.1361262,-75.6344082,9482
Carrera 63 Calle 80 Sur LA ESTRELLA,6.1586293,-75.6450655,9483
Carrera 50 Calle 97B Sur LA ESTRELLA,6.1317917,-75.6334631,9484
Carrera 50 Calle 88 Sur LA ESTRELLA,6.1481678,-75.6361426,9485
Carrera 48 Calle 100 Sur LA ESTRELLA,6.1168976,-75.6303266,9486
Carrera 60 Calle 86 Sur LA ESTRELLA,6.160091,-75.642697,9487
Carrera 48B Calle 98 Sur LA ESTRELLA,6.1266506,-75.6308967,9488
Carrera 50 Calle 80 Sur LA ESTRELLA,6.1523941,-75.6336115,9489
Carrera 50 Calle 79C Sur LA ESTRELLA,6.1529569,-75.6318012,9490
Calle 100 Sur Carrera 48 LA ESTRELLA,6.1196971,-75.6315951,9491
Carrera 50 Calle 79B Sur LA ESTRELLA,6.1534233,-75.6292428,9492
Carrera 48 Calle 100 Sur LA ESTRELLA,6.1168976,-75.6303266,9493
Carrera 60 Calle 75AA Sur LA ESTRELLA,6.1620686,-75.6432658,9494
Carrera 54 Calle 77 Sur LA ESTRELLA,6.1604655,-75.6368848,9470
Carrera 48 Calle 100 Sur LA ESTRELLA,6.1168976,-75.6303266,9471
Carrera 50 Calle 79C Sur LA ESTRELLA,6.1529569,-75.6318012,9495
Calle 80 Sur Carrera 55 LA ESTRELLA,6.1543856,-75.6363237,9513
Carrera 50 Calle 100B Sur LA ESTRELLA,6.1187752,-75.6344243,9514
Carrera 50 Calle 79C Sur LA ESTRELLA,6.1529569,-75.6318012,9515
Calle 76 Sur Carrera 52 LA ESTRELLA,6.1613001,-75.644262,9516
Calle 80 Sur Carrera 54 LA ESTRELLA,6.153988,-75.6350659,9528
Carrera 50 Calle 78 Sur LA ESTRELLA,6.156027,-75.6287578,9533
Calle 98 Sur Carrera 48 LA ESTRELLA,6.1264835,-75.6288846,9535
Carrera 50 Calle 79 Sur LA ESTRELLA,6.1539353,-75.6289665,9536
Calle 74 Sur Carrera 66 LA ESTRELLA,6.1645847,-75.6433602,9549
Carrera 53 Calle 77 Sur LA ESTRELLA,6.15992,-75.6322728,9553
Carrera 55 Calle 87 Sur LA ESTRELLA,6.1501338,-75.6371597,9554
Calle 87 Sur Carrera 65 LA ESTRELLA,6.1531536,-75.6483954,9555
Calle 96 Sur Carrera 50 LA ESTRELLA,6.1349499,-75.6344472,9556
Carrera 50 Calle 89 Sur LA ESTRELLA,6.145127,-75.6335377,9557
Carrera 55 Calle 79 Sur LA ESTRELLA,6.1569697,-75.6355586,9580
Calle 87 Sur Carrera 55 LA ESTRELLA,6.1501338,-75.6371597,9581
Carrera 62A Calle 74 Sur LA ESTRELLA,6.1645847,-75.6433602,9583
Carrera 50 Calle 95 Sur LA ESTRELLA,6.1366177,-75.6342835,9584
Calle 83 Sur Carrera 53A LA ESTRELLA,6.1537962,-75.6383414,9585
Calle 73 Sur Carrera 63AA LA ESTRELLA,6.1655491,-75.6450327,9069
Carrera 53 Calle 75AB Sur LA ESTRELLA,6.1609389,-75.6316209,9070
Carrera 50 Calle 96 Sur LA ESTRELLA,6.1349499,-75.6344472,9071
Calle 77 Sur Carrera 54 LA ESTRELLA,6.1604655,-75.6368848,9072
Calle 74 Sur Carrera 54 LA ESTRELLA,6.1645847,-75.6433602,9080
Autopista 9 Autopista 9 Sur LA ESTRELLA,-32.5926227,-62.4976667,9081
Carrera 49 Calle 79 Sur LA ESTRELLA,6.1535794,-75.6285972,9082
Calle 77 Sur Carrera 55 LA ESTRELLA,6.1604047,-75.6372673,9083
Carrera 50 Calle 78 Sur LA ESTRELLA,6.156027,-75.6287578,9084
Carrera 55 Calle 90 Sur LA ESTRELLA,6.1482394,-75.637607,9085
Carrera 54 Calle 75C Sur LA ESTRELLA,6.1545954,-75.6346171,9086
Carrera 49 Calle 100 Sur LA ESTRELLA,6.1195073,-75.6341745,9087
Carrera 50 Calle 79C Sur LA ESTRELLA,6.1529569,-75.6318012,9092
Carrera 49 Calle 100 Sur LA ESTRELLA,6.1195073,-75.6341745,9101
Calle 79 Sur Carrera 59 LA ESTRELLA,6.1584664,-75.6417332,9102
Calle 87A Sur Carrera 65 LA ESTRELLA,6.1511449,-75.636623,9103
Carrera 50 Calle 79C Sur LA ESTRELLA,6.1529569,-75.6318012,9104
Carrera 50 Calle 79 Sur LA ESTRELLA,6.1539353,-75.6289665,9105
Calle 81 Sur Carrera 63 LA ESTRELLA,6.1580861,-75.6452845,9106
Carrera 50 Calle 79 Sur LA ESTRELLA,6.1539353,-75.6289665,9107
Calle 77 Sur Carrera 56D LA ESTRELLA,6.1600851,-75.6389193,9108
Carrera 54 Calle 75 Sur LA ESTRELLA,6.1629835,-75.6354762,9109
Carrera 50 Calle 80 Sur LA ESTRELLA,6.1523941,-75.6336115,9110
Carrera 50 Calle 77 Sur LA ESTRELLA,6.154535,-75.626803,9111
Carrera 55 Calle 87 Sur LA ESTRELLA,6.1501338,-75.6371597,9112
Carrera 50 Calle 79 Sur LA ESTRELLA,6.1539353,-75.6289665,9113
Carrera 55 Calle 80 Sur LA ESTRELLA,6.1543856,-75.6363237,9114
Carrera 50 Calle 79C Sur LA ESTRELLA,6.1529569,-75.6318012,9115
Calle 82 Sur Carrera 57 LA ESTRELLA,6.1553376,-75.6405452,9116
Carrera 60 Calle 77 Sur LA ESTRELLA,6.1596519,-75.6427118,9120
Carrera 50 Calle 80 Sur LA ESTRELLA,6.1523941,-75.6336115,11720
Calle 80 Sur Carrera 60 LA ESTRELLA,6.1580754,-75.6435169,11879
Carrera 55 Calle 87 Sur LA ESTRELLA,6.1501338,-75.6371597,11899
Carrera 50 Calle 79 Sur LA ESTRELLA,6.1539353,-75.6289665,11900
Carrera 48 Calle 100 Sur LA ESTRELLA,6.1168976,-75.6303266,11901
Carrera 50 Calle 100 Sur LA ESTRELLA,6.1194097,-75.6344227,11902
Carrera 50 Calle 100C Sur LA ESTRELLA,6.1174991,-75.6351956,11903
Calle 77 Sur Carrera 57B LA ESTRELLA,6.1600381,-75.6401609,11904
Calle 83C Sur Carrera 56 LA ESTRELLA,6.151888,-75.6368066,11905
Carrera 54 Calle 77 Sur LA ESTRELLA,6.1604655,-75.6368848,11977
Calle 77 Sur Carrera 50 LA ESTRELLA,6.1572844,-75.6269373,11978
Carrera 59 Calle 83A Sur LA ESTRELLA,6.1552821,-75.6428412,11979
Carrera 62 Calle 82 Sur LA ESTRELLA,6.1568455,-75.6449082,11980
Carrera 54 Calle 76 Sur LA ESTRELLA,6.1557596,-75.6341108,12006
Carrera 56 Calle 82 Sur LA ESTRELLA,6.1547249,-75.6384867,12007
Carrera 55 Calle 83C Sur LA ESTRELLA,6.1515629,-75.6366658,12008
Carrera 54 Calle 75AB Sur LA ESTRELLA,6.1557596,-75.6341108,12009
Calle 100B Sur Carrera 48 LA ESTRELLA,6.1186355,-75.6288128,12010
Carrera 50 Calle 80 Sur LA ESTRELLA,6.1523941,-75.6336115,12011
Carrera 48 Calle 100 Sur LA ESTRELLA,6.1168976,-75.6303266,12035
Carrera 48 Calle 100 Sur LA ESTRELLA,6.1168976,-75.6303266,12036
Carrera 50 Calle 100D Sur LA ESTRELLA,6.117579,-75.6324342,12042
Carrera 62 Calle 87 Sur LA ESTRELLA,6.1528829,-75.646854,12043
Carrera 57B Calle 76 Sur LA ESTRELLA,6.1616005,-75.6401296,12047
Carrera 54 Sur Calle 74 LA ESTRELLA,6.1645847,-75.6433602,12049
Calle 75B Carrera 62A LA ESTRELLA,6.1621156,-75.6442502,12051
Carrera 50 Calle 97B Sur LA ESTRELLA,6.1317917,-75.6334631,12053
Calle 73 Sur Carrera 65 LA ESTRELLA,6.166178,-75.6522561,12061
Carrera 50 Calle 79 Sur LA ESTRELLA,6.1539353,-75.6289665,12062
Carrera 50 Calle 100 Sur LA ESTRELLA,6.1194097,-75.6344227,12063
Carrera 50 Calle 79 Sur LA ESTRELLA,6.1539353,-75.6289665,12064
